id,answer
VAT-DOM-068,Die
VAT-DOM-069,Der
VAT-DOM-070,Der
VAT-DOM-071,Die
VAT-DOM-072,Bei
VAT-DOM-073,Die
VAT-DOM-074,In
VAT-DOM-075,Die
VAT-DOM-076,Die
VAT-DOM-077,Die
VAT-DOM-078,Der
VAT-DOM-079,Die
VAT-DOM-080,Das
GRESt-AT-001,Der
GRESt-AT-002,Die
GRESt-AT-003,Der
GRESt-AT-004,Die
GRESt-AT-005,Der
GRESt-AT-006,Die
GRESt-AT-007,Die
GRESt-AT-008,Die
GRESt-AT-009,Die
GRESt-AT-010,Die
GRESt-AT-011,Die
GRESt-AT-012,Der
GRESt-AT-013,Die
GRESt-AT-014,Die
GRESt-AT-015,Die
GRESt-AT-016,Die
GRESt-AT-017,Die
GRESt-AT-018,Die
GRESt-AT-019,Die
GRESt-AT-020,Die
GRESt-AT-021,Die
GRESt-AT-022,Die
GRESt-AT-023,Die
GRESt-AT-024,Die
GRESt-AT-025,Die
GRESt-AT-026,Die
GRESt-AT-027,Die
GRESt-AT-028,Die
GRESt-AT-029,Die
GRESt-AT-030,Die
GRESt-AT-031,Die
GRESt-AT-032,Die
GRESt-AT-033,Die
GRESt-AT-034,Die
GRESt-AT-035,Die
GRESt-AT-036,Die
GRESt-AT-037,Die
GRESt-AT-038,Die
GRESt-AT-039,Die
GRESt-AT-040,Die
GRESt-AT-041,Die
GRESt-AT-042,In
GRESt-AT-043,Die
GRESt-AT-044,Die
GRESt-AT-045,Die
GRESt-AT-046,Die
GRESt-AT-047,Die
GRESt-AT-048,Es
GRESt-AT-049,Die
GRESt-AT-050,Die
GRESt-AT-051,"Die,"
GRESt-AT-052,Die
GRESt-AT-053,Die
GRESt-AT-054,Die
GRESt-AT-055,Die
GRESt-AT-056,Die
GRESt-AT-057,Die
GRESt-AT-058,Der
GRESt-AT-059,Die
GRESt-AT-060,Die
GRESt-AT-061,Der
GRESt-AT-062,Die
GRESt-AT-063,Die
GRESt-AT-064,Das
GRESt-AT-065,Die
GRESt-AT-066,Die
GRESt-AT-067,Die
GRESt-AT-068,Die
GRESt-AT-069,Die
GRESt-AT-070,Die
GRESt-AT-071,Der
GRESt-AT-072,Die
GRESt-AT-073,Die
GRESt-AT-074,Die
GRESt-AT-075,Die
GRESt-AT-076,Die
GRESt-AT-077,Die
GRESt-AT-078,Die
GRESt-AT-079,Die
GRESt-AT-080,Der
GRESt-AT-081,Die
VAT-INTL-001,Die
VAT-INTL-002,Die
VAT-INTL-003,Die
VAT-INTL-004,Die
VAT-INTL-005,Die
VAT-INTL-006,Die
VAT-INTL-007,Die
VAT-INTL-008,Die
VAT-INTL-009,Die
VAT-INTL-010,Die
VAT-INTL-011,Das
VAT-INTL-012,Die
VAT-INTL-013,Wenn
VAT-INTL-014,""""
VAT-INTL-015,""""
VAT-INTL-016,"„"""
VAT-INTL-017,""""
VAT-INTL-018,""""
VAT-INTL-019,""""
VAT-INTL-020,""""
VAT-INTL-021,Die­
VAT-INTL-022,""""
VAT-INTL-023,Die
VAT-INTL-024,„
VAT-INTL-025,""""
VAT-INTL-026,""""
VAT-INTL-027,""""
VAT-INTL-028,„
VAT-INTL-029,„
VAT-INTL-030,""""
VAT-INTL-031,""""
VAT-INTL-032,Die
VAT-INTL-033,Der
VAT-INTL-034,Der
VAT-INTL-035,""""
VAT-INTL-036,""""
VAT-INTL-037,Die
VAT-INTL-038,Die
VAT-INTL-039,Die
VAT-INTL-040,Die
VAT-INTL-041,""""
VAT-INTL-042,"""..."
VAT-INTL-043,"""..."
VAT-INTL-044,""""""
VAT-INTL-045,"""..."
VAT-INTL-046,Die
VAT-INTL-047,Die
VAT-INTL-048,In
VAT-INTL-049,Die
VAT-INTL-050,Die
VAT-INTL-051,Die
VAT-INTL-052,Die
VAT-INTL-053,Die
VAT-INTL-054,Die
VAT-INTL-055,Die
VAT-INTL-056,Die
VAT-INTL-057,Die
VAT-INTL-058,Die
VAT-INTL-059,Die
VAT-INTL-060,Die
VAT-INTL-061,Die
VAT-INTL-062,Die
VAT-INTL-063,Die
VAT-INTL-064,Die
VAT-INTL-065,Die
VAT-INTL-066,„
VAT-INTL-067,Das
VAT-INTL-068,Die
VAT-INTL-069,Die
VAT-INTL-070,Die
VAT-INTL-071,Die
VAT-INTL-072,Die
VAT-INTL-073,Die
VAT-INTL-074,Die
VAT-INTL-075,Die
VAT-INTL-076,Die
VAT-INTL-077,Die und
VAT-INTL-078,Die
VAT-INTL-079,Die
VAT-INTL-080,Die
VAT-INTL-081,„
VAT-INTL-082,Die
ESTG27-001,Der
ESTG27-002,Der
ESTG27-003,Die
ESTG27-004,Der
ESTG27-005,Die
ESTG27-006,Der
ESTG27-007,Die
ESTG27-008,Die
ESTG27-009,Der
ESTG27-010,Der
ESTG27-011,Der
ESTG27-012,Die
ESTG27-013,Die
ESTG27-014,Die
ESTG27-017,Die
ESTG27-018,Die
ESTG27-019,Der
ESTG27-020,Bei
ESTG27-021,Der
ESTG27-022,Die
ESTG27-023,Die
ESTG27-024,Die
ESTG27-025,Die
ESTG27-026,Der
ESTG27-027,Die
ESTG27-028,Die
ESTG27-029,Die
ESTG27-030,Die und
ESTG27-031,Der
ESTG27-032,Die
ESTG27-033,Der
ESTG27-034,Die
ESTG27-035,Die
ESTG27-036,Die
ESTG27-037,Der
ESTG27-038,Der
ESTG27-039,Die
ESTG27-040,Die
EMP-001,Die
EMP-002,Die
EMP-003,Die
EMP-004,Die
EMP-005,Die
EMP-006,Die
EMP-007,Die
EMP-008,Der
EMP-009,Die
EMP-010,Die
EMP-011,Die
EMP-012,Die
EMP-013,Die
EMP-014,Die
EMP-015,Die
EMP-016,Die
EMP-017,Der
EMP-018,Die
EMP-019,Die
EMP-020,Die
EMP-021,Nein
EMP-022,Die
EMP-023,Das
EMP-024,Die
EMP-025,Die
EMP-026,Die
EMP-027,Die
EMP-028,Die
EMP-029,Die
EMP-030,Die
EMP-031,Die
EMP-032,Die
EMP-033,Die
EMP-034,Die
EMP-035,Die
EMP-036,Die
EMP-037,Die
EMP-038,Die
EMP-039,Die
EMP-040,Die
EMP-041,Es
EMP-042,Der
EMP-043,Die
EMP-044,Die
EMP-045,Die
EMP-046,Die
EMP-047,Die
EMP-048,Der
EMP-049,Die
EMP-050,Die
EMP-051,Die
EMP-052,Sie
EMP-053,Die
EMP-054,Die
EMP-055,Das
EMP-056,Die
EMP-057,Die
EMP-058,Das
EMP-059,Die
EMP-060,Die
EStG-23-001,Die
EStG-23-002,Die
EStG-23-003,Die
EStG-23-004,Die
EStG-23-005,Die
EStG-23-006,Die
EStG-23-007,Die
EStG-23-008,Die
EStG-23-009,Die
EStG-23-010,Die
EStG-23-011,Die
EStG-23-012,Die
EStG-23-013,Die
EStG-23-014,Die
EStG-23-015,Die
EStG-23-016,Der
EStG-23-017,Die
EStG-23-018,Die
EStG-23-019,Die
EStG-23-020,Die
EStG-23-021,Die
EStG-23-022,Das
EStG-23-023,Die
EStG-23-024,Der
EStG-23-025,Ja
EStG-23-026,Der
EStG-23-027,Der
EStG-23-028,Die
EStG-23-029,Die
EStG-23-030,Die
EStG-23-031,Der
EStG-23-032,Die
EStG-23-033,Die
EStG-23-034,Die
EStG-23-035,Der
EStG-23-036,Die
EStG-23-037,Die
EStG-23-038,Die
EStG-23-039,Die
EStG-23-040,Die
EStG-23-041,Die
EStG-23-042,Der
EStG-23-043,Die
EStG-23-044,Die
EStG-23-045,Die
EStG-23-046,Die
EStG-23-047,Der
EStG-23-048,Die
EStG-23-049,Die
EStG-23-050,Die
EStG-23-051,Das
EStG-23-052,Die
EStG-23-053,Die
EStG-23-054,Die
EStG-23-055,Die
EStG-23-056,Die
EStG-23-057,Der
EStG-23-058,Die
EStG-23-059,Der
EStG-23-060,Der
SELF-001,Der
SELF-002,Die
SELF-003,Die
SELF-004,Die
SELF-005,Die
SELF-006,Die
SELF-007,Die
SELF-008,Die
SELF-009,Der
SELF-010,Die
SELF-011,Die
SELF-012,Die
SELF-013,Das
SELF-014,Die
SELF-015,Die
SELF-016,Die
SELF-017,Die
SELF-018,Der
SELF-019,Die
SELF-020,Die
SELF-021,Das
SELF-022,Die
SELF-023,Die
SELF-024,Der
SELF-025,Die
SELF-026,Die
SELF-027,Die
SELF-028,Der
SELF-029,Die
SELF-030,Der
SELF-031,Das
SELF-032,Das
SELF-033,Die
SELF-034,Die
SELF-035,Die
SELF-036,Die
SELF-037,Die
SELF-038,Der
SELF-039,Die
SELF-040,Der
SELF-041,Die
SELF-042,Der
SELF-043,Die
SELF-044,Die
SELF-045,Die
SELF-046,Die
SELF-047,Der
SELF-048,Die
SELF-049,Der
SELF-050,Die
SELF-051,Die
SELF-052,Die
SELF-053,Die
SELF-054,Das
SELF-055,Die
SELF-056,Die
SELF-057,Die
SELF-058,Die
SELF-059,Die
SELF-060,Der
SELF-061,Die
SELF-062,Die
SELF-063,Die
SELF-064,Die
SELF-065,Das
SELF-066,Die
SELF-067,Die
SELF-068,Die
SELF-069,Die
SELF-070,Die
SELF-071,Die
SELF-072,Die
SELF-073,Die
SELF-074,Die
SELF-075,Das
SELF-076,Die
SELF-077,Die
SELF-078,Die
SELF-079,Die
SELF-080,Die
SELF-081,Die
SELF-082,Das
